LONGITUDE,LATITUDE,OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,HOUR_IMPACTED,STATUS,BREAK_NATURE,BREAK_APPARENT_CAUSE,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,ROADSEGMENTID,STREET,ASSETID,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
-80.5311855666512,43.4509565925793,8053,1860,2013-02-10 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,20774,WESTGATE WALK,42050,150.0,1959.0,CI,Y,6da3d133-7d11-4699-849e-ff98e8068619
-80.4869408267577,43.4709973690318,8054,1861,2013-02-05 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,COMBINATION,Y,Y,Y,Y,Y,Y,CATEGORY 1,10379,OXFORD ST,29900,150.0,1947.0,CI,Y,61a59cca-9e7f-46b6-b1d1-7b0f551087df
-80.5392000408656,43.4335525866539,8055,1862,2013-02-01 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,FITTING/JOINT,CORROSION,Y,Y,Y,Y,Y,N,CATEGORY 1,20794,WESTFOREST TRAIL,88430,300.0,1988.0,DI,Y,07f1da4e-1ca3-4832-ad14-247d3887d44a
-80.4641190111273,43.4831298131283,8056,1863,2013-02-04 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,13039,DANIEL AVE,8940,150.0,1964.0,CI,Y,d65c00a3-80eb-43c3-8c9c-62b40aae8eb2
-80.5392137788314,43.4335477733371,8057,1865,2013-02-01 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL AND FITTING/JOINT,CORROSION,Y,Y,Y,Y,Y,Y,CATEGORY 1,6105,VICTORIA ST S,88430,300.0,1988.0,DI,Y,aaaadaba-26aa-4b64-bae3-348f58e664d5
-80.5194806886154,43.4324128022156,8058,1866,2013-01-30 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,COMBINATION,Y,Y,Y,Y,Y,Y,CATEGORY 1,20698,OVERLEA DR,29790,150.0,1967.0,CI,Y,0bba7433-83ae-4020-b83e-8a156640b470
-80.5130217558478,43.4450578890457,8059,339,2004-02-26 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,1231,BELMONT AVE W,2010,300.0,1957.0,CI,Y,a69b26b1-45e4-4c61-8a00-866ec060ca52
-80.5131824333009,43.4426556500947,8060,48,2000-09-21 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,1717,VICTORIA ST S,73200,600.0,2006.0,CPP,N,f6a72576-ea9c-4f10-985f-b330cba4f523
-80.4625768377058,43.4435276206849,8061,33,2001-01-19 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,10138,SHELDON AVE N,34670,150.0,1946.0,CI,N,d4f4e29a-de8c-4f5b-9429-6df2ea387bd8
-80.4702101918554,43.442720365882,8062,938,2005-03-03 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,11696,OTTAWA ST N,29200,150.0,1952.0,CI,Y,b84216eb-7865-4521-bcc7-4f0ea12cca74
-80.5241396959951,43.4386532512731,8063,878,2006-06-25 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,8728,HAZELGLEN DR,18230,300.0,1968.0,DI,Y,1b22a404-1747-49f8-9b8a-f1e948f5efbe
-80.4571046885157,43.4612145159239,8064,1344,2009-01-18 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,15884,TANGLEWOOD AVE,37540,150.0,1958.0,CI,Y,0e09907f-49cb-4f5a-8fb3-e7a9b35afd85
-80.4601252264512,43.4490592529973,8065,406,2005-02-18 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,UNKNOWN,OTHER,Y,Y,Y,Y,Y,Y,CATEGORY 1,22904,LYNDHURST DR,24600,150.0,1958.0,CI,Y,7129668a-dc0d-43b9-88e4-94741ccabb1e
