longitude,latitude,incident_date,break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_year_installed,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,connections,failure_rate
-80.4400802627101,43.4541789449667,2007-03-04,0,4,4,0,200.0,1966-01-01,4,2,41.0,1,1,1,1,1,1,1,2,0.05
-80.4628191559073,43.4501978981749,2005-11-02,0,4,4,0,150.0,1959-01-01,1,1,46.0,1,1,1,1,1,1,1,2,0.02
-80.4396195860468,43.4487193235082,2006-01-11,0,4,4,0,150.0,1966-01-01,1,4,40.0,1,1,1,1,1,1,1,4,0.1
-80.4400667016804,43.4484609771151,2002-01-16,0,4,4,0,150.0,1966-01-01,1,3,36.0,1,1,1,1,1,1,1,7,0.08
-80.4477653481766,43.4309272297993,2002-01-26,0,4,4,0,200.0,1952-01-01,1,1,50.0,1,1,1,1,1,1,1,1,0.02
-80.4555394644935,43.4296683766189,2003-12-17,0,4,4,0,150.0,1960-01-01,1,8,43.0,1,1,1,1,1,1,1,8,0.19
-80.463156623729,43.4494594885315,1999-02-17,0,4,4,0,150.0,1959-01-01,1,2,40.0,1,1,1,1,1,1,1,2,0.05
-80.4555059874269,43.4297291247207,2005-03-02,0,4,4,0,150.0,1960-01-01,1,8,45.0,1,1,1,1,1,1,1,8,0.18
-80.4609436030077,43.4364538150998,2007-11-26,0,4,2,0,150.0,1950-01-01,1,2,57.0,1,1,1,1,1,1,1,3,0.04
-80.5286046403223,43.4417030027802,2009-06-04,0,4,4,0,300.0,1968-01-01,4,4,41.0,1,1,1,1,1,1,1,6,0.1
-80.4453712427749,43.426979963648,2004-09-24,0,4,4,0,150.0,1958-01-01,1,5,46.0,1,1,1,1,1,1,1,5,0.11
-80.4602681658691,43.4566660409631,2000-11-23,0,4,4,0,150.0,1954-01-01,1,1,46.0,1,1,1,1,1,1,1,1,0.02
-80.4539755059263,43.4617863672683,2004-12-24,0,4,4,0,200.0,1961-01-01,1,3,43.0,1,1,1,1,1,1,1,3,0.07
-80.489666168317,43.4421523733386,2003-01-13,0,4,4,0,300.0,1984-01-01,4,1,19.0,1,1,1,1,1,1,1,1,0.05
-80.503281964613,43.4299373899419,1997-04-15,0,4,4,0,150.0,1958-01-01,1,2,39.0,1,1,1,1,1,1,1,2,0.05
-80.4445385286411,43.4450854478353,1998-12-24,0,4,4,0,150.0,1965-01-01,1,7,33.0,1,1,1,1,1,1,1,7,0.21
-80.5301678840237,43.422423557495,2000-10-02,0,4,4,0,150.0,1973-01-01,4,2,27.0,1,1,1,1,1,1,1,2,0.07
-80.5270546735077,43.4500019605405,2004-01-27,0,4,4,0,150.0,1956-01-01,1,2,48.0,1,1,1,1,1,1,1,7,0.04
-80.4983458070912,43.4290502428461,2009-12-29,0,4,4,0,200.0,1957-01-01,1,1,52.0,1,1,1,1,1,1,1,4,0.02
-80.5310331837491,43.4407264504711,2003-03-13,0,4,4,0,150.0,1969-01-01,4,6,34.0,1,1,1,1,1,1,1,7,0.18
-80.5066297085095,43.4293210903194,2003-10-31,0,4,4,0,150.0,1959-01-01,1,5,44.0,1,1,1,1,1,1,1,2,0.11
-80.5287396573566,43.4464107332934,2008-03-04,0,4,4,0,150.0,1966-01-01,1,6,42.0,1,1,1,1,1,1,1,6,0.14
-80.4654424015388,43.4126808289025,2000-11-07,0,4,4,0,150.0,1974-01-01,4,2,26.0,1,1,1,1,1,1,1,1,0.08
-80.461749268758,43.458102263393,2009-01-28,0,4,4,0,150.0,1955-01-01,1,5,54.0,1,1,1,1,1,1,1,5,0.09
-80.5388129159688,43.442057853045,2000-09-19,0,4,4,0,300.0,1969-01-01,4,3,31.0,1,1,1,1,1,1,1,4,0.1
-80.4388413979043,43.4356573088341,1998-11-26,0,4,4,0,200.0,1959-01-01,1,2,39.0,1,1,1,1,1,1,1,2,0.05
-80.5371055557341,43.4418668266746,2003-09-17,0,4,4,0,300.0,1969-01-01,4,3,34.0,1,1,1,1,1,1,1,3,0.09
-80.4475850112577,43.4220570760057,2003-12-16,0,4,4,0,150.0,1967-01-01,1,4,36.0,1,1,1,1,1,1,1,4,0.11
-80.5303355693401,43.4401563069989,2000-03-14,0,4,4,0,150.0,1970-01-01,6,9,30.0,1,1,1,1,1,1,1,9,0.3
