break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,failure_rate
0,3,4,0,150.0,1,3,66,1,1,1,1,1,1,1,0.0455
0,1,2,1,300.0,4,1,37,1,1,0,1,1,1,1,0.027
0,1,4,1,150.0,1,4,66,1,1,1,1,1,1,1,0.0606
0,4,4,2,450.0,6,1,3,1,1,1,1,1,1,1,0.3333
0,0,4,0,200.0,4,5,54,1,1,1,1,1,1,1,0.0926
0,4,4,2,300.0,4,1,51,1,1,1,1,1,1,1,0.0196
0,4,4,2,300.0,4,3,51,1,1,1,1,1,1,1,0.0588
0,4,4,2,150.0,4,2,38,1,1,1,1,1,1,1,0.0526
0,4,4,2,150.0,1,4,61,1,1,1,1,1,1,1,0.0656
0,0,4,0,150.0,1,2,55,1,1,1,1,1,1,1,0.0364
0,0,4,0,200.0,4,2,61,1,1,1,1,1,1,1,0.0328
0,3,2,0,150.0,1,3,62,1,1,1,1,1,1,1,0.0484
0,5,4,0,150.0,4,2,46,1,1,1,1,1,1,1,0.0435
0,2,4,0,150.0,4,2,46,1,1,1,1,1,1,1,0.0435
0,1,4,0,150.0,1,4,60,1,1,1,1,1,1,1,0.0667
0,0,2,0,150.0,4,1,55,1,1,1,1,1,1,1,0.0182
0,4,4,2,150.0,1,3,54,1,1,1,1,1,1,1,0.0556
0,0,2,0,150.0,1,4,62,1,1,1,1,1,1,1,0.0645
