OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,ROAD_CLOSED,SIDEWALK_CLOSED,HOUR_IMPACTED,UNITS_IMPACTED,CW_SERVICE_REQUEST,STATUS,STATUS_DATE,WORKORDER,RETURN_TO_NORMAL,BREAK_NATURE,BREAK_APPARENT_CAUSE,REPAIR_TYPE,NEW_SECTION_LENGTH,MAINTENANCE_DESC,VALVES_CLOSED,VALVES_OPENED,HYDRANTS_CALLED_OUT,HYDRANTS_CALLED_BACK_IN,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,DISINFECTED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,BACTERIA_TESTING_DATE,HEALTH_DEPT_NOTIFICATION,MOECC_SAC_NOTIFICATION,SAC_REFERENCE_NO,LOCAL_MOE_OFFICE,BWA_DWA,BWA_DWA_DECLARED,PROCEEDURES_FOLLOWED,RECORD_CHANGE_REQD,ROADSEGMENTID,CIVIC_NUMBER,STREET,ASSETID,ASSET_DEPTH,FROST_DEPTH,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
8030,957,969321600000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,5418,48,BLUE SPRUCE CRT,3620,,,150.0,1973,DI,Y,5fffe285-cb2b-49a9-9533-7db349d93c61
8031,1834,1363824000000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1391731200000,79095.0,,CIRCUMFERENTIAL,COMBINATION,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,10141,26,EDMUND RD,11480,,,150.0,1949,CI,Y,7cda0dff-d4ff-4664-90b9-4345319e1ca0
8032,1835,1363824000000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1391731200000,79063.0,,CIRCUMFERENTIAL,AGE,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,15895,122,LOIS ST,33410,,,150.0,1958,CI,Y,d2924d57-7add-45ea-9440-0b093cc98a9e
8033,1836,1363651200000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1391731200000,78943.0,,CORROSION AND CIRCUMFERENTIAL,AGE,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,23175,124,QUEENSTON DR,31930,,,150.0,1966,DI,Y,cf131a39-ecde-4063-b8e9-d5b95c7a7f8f
8034,1838,1362873600000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1391731200000,78617.0,,CIRCUMFERENTIAL,AGE,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,10044,374,PROSPECT AVE,31180,,,150.0,1954,CI,Y,88b4386d-a04a-4b8d-9d08-8b90ff8cee9c
8035,1839,1362614400000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1391731200000,78575.0,,CIRCUMFERENTIAL,COMBINATION,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,21840,201,WOODHAVEN RD,43910,,,150.0,1954,CI,Y,487a920c-8d89-4904-82b6-ba6296f5c0b8
8036,1840,1362528000000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1391731200000,78528.0,,CIRCUMFERENTIAL,COMBINATION,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,15747,27,ELKINGTON DR,84154,,,150.0,1959,CI,Y,07b60047-4eda-427d-9777-edb828a5821a
8037,1842,1362355200000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1391731200000,78429.0,,CIRCUMFERENTIAL,AGE,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,15816,78,CONFEDERATION DR,7760,,,150.0,1966,CI,Y,8d8c2af1-ce55-49dd-b5d8-164629aad9ff
8038,1843,1362355200000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1391731200000,78353.0,,FITTING/JOINT,CORROSION,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,23179,126,INDIAN RD,20260,,,150.0,1967,CI,Y,bfda303e-3b28-48e5-97f9-f7c47848c2fb
8039,1844,1362182400000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1391731200000,78354.0,,CIRCUMFERENTIAL,AGE,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,603851,146,CORNELL AVE,8060,,,150.0,1958,CI,Y,29a9ef2c-f2c2-416f-a84d-5fce531f4df5
