OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,OVERSIZED_DIAMETER,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,GlobalID,Shape__Length
87657,79772,ACTIVE,BRIDGEPORT,40242,.8m 250mm  PVC,TREATED,250,,PVC,NO,,NONE,2010/01/14 00:00:00+00,PURCHASED,,REGION,N,,7,2,41,N,N,9.35,N,3b892bf0-f38d-41e0-beb2-831d67da3e6a,0.779139243276377
87658,91970,ACTIVE,KIT 5,8682,8m 150mm  DI,TREATED,150,,DI,NO,,NONE,1972/01/01 00:00:00+00,DONATED,NA,KITCHENER,N,,5,6,0,N,N,4.58,N,654d19bc-d6e4-4f9e-86b5-b3844deed29e,8.03064116965216
87659,8860,ACTIVE,KIT 5,8682,414.2m 150mm  DI,TREATED,150,,DI,NO,,NONE,1969/07/01 00:00:00+00,DONATED,NA,KITCHENER,N,,5,6,0,N,N,6.1,N,3ab19d98-89b4-4431-8c80-5b9027b039d6,414.210967333024
87660,91972,ACTIVE,KIT 5,8682,8.8m 150mm  DI,TREATED,150,,DI,NO,,NONE,1969/07/01 00:00:00+00,DONATED,NA,KITCHENER,N,,5,6,0,N,N,8.5,N,6c484580-d7d6-446c-92e5-83fab4b9f9d6,8.79563493681037
87661,91974,ACTIVE,KIT 4,9973,27.8m 200mm  DI,TREATED,200,,DI,NO,,NONE,1968/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,13,N,N,8.5,N,3fc94a8b-a2e4-4e77-9fce-26b6953be2fc,27.7679637776978
87662,91976,ACTIVE,KIT 4,9973,7.2m 200mm  DI,TREATED,200,,DI,NO,,NONE,1968/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,13,N,N,8.5,N,f0809870-840c-4653-a2ec-d06dd8ae1f9d,7.20526080933102
87663,5560,ACTIVE,KIT 4,9973,78m 200mm  DI,TREATED,200,,DI,NO,,NONE,1968/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,13,N,N,8.5,N,95ebefb1-cce7-4758-bb2c-1492d35acac5,77.9971325121032
87664,80972,ACTIVE,KIT 4,7020,135.4m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2008/09/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,30,N,N,9.35,N,5e4728a6-7a18-4161-b32f-7a001b0f37a8,135.434793012723
87665,8870,ACTIVE,KIT 5,8674,166.5m 150mm  DI,TREATED,150,,DI,NO,,NONE,1972/01/01 00:00:00+00,DONATED,NA,KITCHENER,N,,6,6,0,N,N,4.7,N,0fd57884-3425-4598-b6b6-1f43d6c10c8f,166.47668800806
87666,91978,ACTIVE,KIT 5,8674,12.3m 150mm  DI,TREATED,150,,DI,NO,,NONE,1972/01/01 00:00:00+00,DONATED,NA,KITCHENER,N,,5,6,0,N,N,8.5,N,1952cc35-542a-4844-8e44-00227b310fb9,12.3352997227154
87669,91982,ACTIVE,KIT 4,1316,8.3m 150mm  CI,TREATED,150,,CI,NO,,NONE,1955/01/01 00:00:00+00,DONATED,,KITCHENER,N,,4,1,25,N,N,7.75,N,919398a7-2496-41de-92db-5e4b84e397db,8.31349715186571
87670,10680,ACTIVE,KIT 4,1316,38.6m 150mm  CI,TREATED,150,,CI,NO,,NONE,1955/01/01 00:00:00+00,DONATED,,KITCHENER,N,,4,1,25,N,N,7.75,N,7dcb31e2-d9fb-40b2-bbfa-c61fc0e8fc70,38.6116374267991
87671,91984,ACTIVE,KIT 4,6553,7.8m 150mm  DI,TREATED,150,,DI,NO,,NONE,1968/10/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,1,N,N,8.5,N,0c0e16a6-2198-4dfa-88e6-0448e62f7db9,7.80752507767595
87672,91986,ACTIVE,KIT 4,6553,7.5m 150mm  DI,TREATED,150,,DI,NO,,NONE,1968/10/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,1,N,N,8.5,N,90af5061-5f0f-4f8c-934e-4afa577ca526,7.54846215676212
87673,34610,ACTIVE,KIT 4,6553,285.9m 150mm  DI,TREATED,150,,DI,NO,,NONE,1968/10/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,1,N,N,8.5,N,3385df74-64c4-447c-bced-cbb55ffb796d,285.877223682898
87674,91988,ACTIVE,KIT 4,6553,162.2m 150mm  DI,TREATED,150,,DI,NO,,NONE,1968/10/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,1,N,N,8.5,N,2a619f06-9f76-4ece-a520-7c312643c423,162.205321534119
87675,91990,ACTIVE,KIT 2W,22076,.6m 200mm  DI,TREATED,200,,DI,NO,,NONE,1977/11/01 00:00:00+00,DONATED,,KITCHENER,N,,7,5,35,N,N,8.5,N,529bf3fa-a34c-4cbb-82f6-3cd41e163a9e,0.613750960666642
87676,12340,ACTIVE,KIT 2W,22076,139.9m 200mm  DI,TREATED,200,,DI,NO,,NONE,1977/11/01 00:00:00+00,DONATED,,KITCHENER,N,,7,5,35,N,N,8.5,N,6a4b489c-4697-4fd9-8433-f864af7573df,139.897741379699
87677,91992,ACTIVE,KIT 2W,50156,117.4m 200mm  DI,TREATED,200,,DI,NO,,NONE,1977/11/01 00:00:00+00,DONATED,,KITCHENER,N,,7,5,35,N,N,6.9,N,a313b4c9-4a57-4c43-8f78-e6f80c04fd43,117.352821824207
87678,91994,ACTIVE,KIT 2W,50156,7.9m 200mm  DI,TREATED,200,,DI,NO,,NONE,1977/11/01 00:00:00+00,DONATED,,KITCHENER,N,,7,5,35,N,N,8.5,N,9d2667dd-5909-4a68-bd31-41c51d26964b,7.91765737006945
87679,30560,ACTIVE,KIT 4,9946,239.3m 150mm  CI,TREATED,150,,CI,NO,,NONE,1955/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,4,6B,N,N,7.75,N,2be4f054-f75b-4dce-a6c0-d47fcc968669,239.295194777996
87680,63770,ACTIVE,KIT 4,6781,2.1m 300mm  DI,TREATED,300,,DI,NO,,NONE,1991/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,23,N,N,9.1,N,a60f7d62-d298-443b-80df-b0d42beb01ed,2.06940614194912
87684,92000,ACTIVE,KIT 4,9331,1.7m 150mm  DI,TREATED,150,,DI,NO,,NONE,1987/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,6,N,N,9.1,N,f5fb6984-c66f-4c1b-a842-82914b8fd176,1.66464006995583
87685,28420,ACTIVE,KIT 4,9331,129.6m 150mm  DI,TREATED,150,,DI,NO,,NONE,1987/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,6,N,N,7.5,N,a6413d56-4c8f-41f2-8513-7506a12d4d5b,129.647609709218
